DBAASP_id,strain_name,SMILES,MIC
ce_40,#004,"[1, 163, 165, 163, 77, 15, 77, 158, 163, 163, 163, 163, 163, 158, 163, 70, 114, 163, 70, 17, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 51, 70, 165, 40, 106, 1736, 2]",1
ce_41,#004,"[1, 163, 163, 158, 163, 163, 158, 145, 15, 106, 163, 114, 163, 171, 158, 163, 145, 51, 17, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 165, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 108, 163, 51, 70, 51, 70, 50, 163, 77, 163, 77, 15, 163, 165, 163, 77, 70, 25, 163, 114, 163, 171, 163, 51, 51, 17, 171, 2]",1
ce_42,#004,"[1, 158, 163, 77, 163, 77, 163, 77, 163, 70, 114, 106, 163, 77, 163, 77, 163, 77, 70, 77, 70, 114, 2]",1
ce_43,#004,"[1, 165, 77, 163, 158, 15, 50, 158, 77, 163, 77, 163, 77, 15, 114, 89, 114, 163, 171, 113, 165, 70, 145, 163, 114, 163, 171, 158, 70, 108, 2]",1
ce_44,#004,"[1, 163, 163, 163, 163, 163, 15, 163, 163, 163, 15, 70, 163, 171, 77, 163, 163, 163, 70, 17, 163, 70, 106, 15, 163, 163, 163, 163, 165, 163, 15, 163, 165, 163, 114, 163, 171, 163, 70, 25, 163, 165, 70, 70, 2]",1
ce_45,#004,"[1, 163, 108, 114, 163, 171, 114, 163, 171, 163, 77, 163, 77, 145, 70, 51, 163, 15, 163, 165, 163, 15, 70, 163, 36, 158, 163, 114, 163, 171, 163, 15, 163, 126, 126, 163, 77, 70, 50, 2]",1
ce_46,#004,"[1, 163, 158, 158, 106, 158, 77, 70, 15, 108, 163, 163, 77, 15, 114, 163, 114, 163, 171, 113, 158, 163, 114, 163, 171, 163, 145, 70, 163, 158, 163, 114, 163, 171, 163, 15, 163, 165, 163, 77, 163, 77, 163, 77, 70, 114, 163, 70, 108, 108, 163, 51, 70, 25, 2640, 2]",1
ce_47,#004,"[1, 163, 163, 77, 163, 15, 50, 163, 15, 163, 163, 15, 163, 163, 163, 163, 15, 163, 163, 15, 163, 163, 163, 77, 163, 77, 70, 77, 165, 163, 163, 165, 163, 163, 89, 15, 163, 163, 15, 163, 163, 163, 163, 77, 163, 77, 163, 77, 70, 114, 570, 2]",1
ce_48,#004,"[1, 163, 165, 158, 77, 145, 51, 15, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 113, 77, 15, 145, 163, 165, 163, 15, 163, 158, 171, 163, 108, 163, 70, 50, 70, 77, 163, 77, 163, 77, 165, 70, 15, 2640, 2]",1
ce_49,#004,"[1, 163, 163, 158, 163, 163, 158, 145, 51, 108, 163, 114, 163, 171, 158, 163, 145, 70, 118, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 70, 15, 108, 163, 15, 163, 163, 15, 163, 163, 163, 70, 25, 163, 114, 163, 171, 113, 163, 77, 163, 77, 163, 77, 70, 114, 163, 114, 163, 171, 163, 51, 70, 50, 171, 2640, 2]",1
